Country_code,Total_Population,Male_Population,Female_Population,Population_Density,Life_Expectancy
UY,3428000000,1659000000,1769000000,19,77
VE,28971000000,14365000000,14605000000,31,72
BM,63000000,30000000,32000000,1181,81
CA,37522000000,18641000000,18881000000,4,82
GL,55000000,29000000,26000000,0,72
PM,5000000,2000000,2000000,25,77
US,334319000000,165698000000,168620000000,36,79
AU,25357000000,12578000000,12778000000,3,83
NZ,4959000000,2451000000,2507000000,18,82
FJ,918000000,461000000,457000000,50,67
NC,285000000,142000000,142000000,15,80
PG,9542000000,4936000000,4605000000,21,65
SB,674000000,345000000,329000000,23,70
VU,304000000,153000000,151000000,24,69
GU,168000000,85000000,83000000,311,77
KI,124000000,60000000,63000000,171,67
MH,44000000,22000000,21000000,248,64
FM,111000000,56000000,55000000,159,71
NR,12000000,6000000,5000000,606,63
MP,49000000,26000000,23000000,109,77
PW,17000000,9000000,8000000,38,64
AS,47000000,23000000,23000000,236,72
CK,17000000,8000000,8000000,71,74
PF,299000000,151000000,147000000,81,82
NU,1000000,0,1000000,7,70
WS,211000000,108000000,103000000,74,72
TK,1000000,0,0,146,75
TO,104000000,51000000,52000000,161,70
TV,10000000,5000000,5000000,365,64
WF,11000000,5000000,6000000,83,79
